Ensembl ID	Gene
ENSMUST00000113360	Cab39
ENSMUST00000022553	Cab39l
ENSMUST00000001712	Cabin1
ENSMUST00000108891	Cables2
ENSMUST00000114007	Cacfd1
ENSMUST00000050867	Cactin
ENSMUST00000014370	Cacybp
ENSMUST00000110082	Calm1
ENSMUST00000003912	Calr
ENSMUST00000031779	Calu
ENSMUST00000100837	Camk2g
ENSMUST00000080440	Camk2g
ENSMUST00000111668	Camkk2
ENSMUST00000020315	Cand1
ENSMUST00000106288	Cant1
ENSMUST00000020637	Canx
ENSMUST00000179865	Canx
ENSMUST00000027488	Capn10
ENSMUST00000117814	Capn10
ENSMUST00000022451	Capn7
ENSMUST00000111147	Caprin1
ENSMUST00000028607	Caprin1
ENSMUST00000143349	Caprin1
ENSMUST00000015877	Capza2
ENSMUST00000187978	Carf
ENSMUST00000034703	Carm1
ENSMUST00000105909	Cars
ENSMUST00000169695	Casc3
ENSMUST00000017384	Casc3
ENSMUST00000015333	Casd1
ENSMUST00000031895	Casp2
ENSMUST00000137526	Cbfa2t2
ENSMUST00000101499	Cbll1
ENSMUST00000018810	Cbx1
ENSMUST00000093943	Cbx1
ENSMUST00000026665	Cbx4
ENSMUST00000023064	Cby1
ENSMUST00000035612	Ccar2
ENSMUST00000107922	Ccdc107
ENSMUST00000030181	Ccdc107
ENSMUST00000042493	Ccdc115
ENSMUST00000020776	Ccdc117
ENSMUST00000007865	Ccdc124
ENSMUST00000022063	Ccdc127
ENSMUST00000089174	Ccdc134
ENSMUST00000058370	Ccdc137
ENSMUST00000037783	Ccdc174
ENSMUST00000118592	Ccdc186
ENSMUST00000033483	Ccdc22
ENSMUST00000022614	Ccdc25
ENSMUST00000036470	Ccdc32
ENSMUST00000028580	Ccdc34
ENSMUST00000092569	Ccdc43
ENSMUST00000002043	Ccdc47
ENSMUST00000100026	Ccdc50
ENSMUST00000026735	Ccdc51
ENSMUST00000147545	Ccdc6
ENSMUST00000061209	Ccdc71
ENSMUST00000172332	Ccdc71l
ENSMUST00000053286	Ccdc84
ENSMUST00000032842	Ccdc90b
ENSMUST00000032441	Ccdc91
ENSMUST00000002683	Ccdc97
ENSMUST00000000388	Ccm2
ENSMUST00000109721	Ccm2
ENSMUST00000164127	Ccnh
ENSMUST00000163600	Ccnh
ENSMUST00000022030	Ccnh
ENSMUST00000058550	Ccni
ENSMUST00000101055	Ccnk
ENSMUST00000112570	Ccnt2
ENSMUST00000053917	Ccny
ENSMUST00000085350	Ccpg1
ENSMUST00000037977	Ccpg1
ENSMUST00000037246	Ccs
ENSMUST00000047672	Cct2
ENSMUST00000001452	Cct3
ENSMUST00000173867	Cct4
ENSMUST00000022842	Cct5
ENSMUST00000032078	Cct7
ENSMUST00000204592	Cct7
ENSMUST00000026704	Cct8
ENSMUST00000031621	Ccz1
ENSMUST00000166791	Cd2bp2
ENSMUST00000047036	Cd3eap
ENSMUST00000084838	Cd47
ENSMUST00000114496	Cd47
ENSMUST00000056997	Cdadc1
ENSMUST00000171683	Cdadc1
ENSMUST00000110701	Cdan1
ENSMUST00000043864	Cdc123
ENSMUST00000043962	Cdc16
ENSMUST00000025228	Cdc23
ENSMUST00000133181	Cdc23
ENSMUST00000094324	Cdc25a
ENSMUST00000084525	Cdc26
ENSMUST00000166603	Cdc34
ENSMUST00000019615	Cdc37
ENSMUST00000050148	Cdc37l1
ENSMUST00000044166	Cdc40
ENSMUST00000051477	Cdc42
ENSMUST00000025681	Cdc42bpg
ENSMUST00000201699	Cdc42bpg
ENSMUST00000053872	Cdc42se1
ENSMUST00000064104	Cdc42se2
ENSMUST00000024727	Cdc5l
ENSMUST00000018337	Cdc73
ENSMUST00000004173	Cdip1
ENSMUST00000036880	Cdk10
ENSMUST00000067081	Cdk11b
ENSMUST00000107539	Cdk12
ENSMUST00000042365	Cdk13
ENSMUST00000033380	Cdk16
ENSMUST00000006911	Cdk4
ENSMUST00000125682	Cdk4
ENSMUST00000198990	Cdk5
ENSMUST00000030814	Cdk5
ENSMUST00000103152	Cdk5rap3
ENSMUST00000091299	Cdk7
ENSMUST00000009699	Cdk9
ENSMUST00000006353	Cdkal1
ENSMUST00000067327	Cdkn1b
ENSMUST00000204807	Cdkn1b
ENSMUST00000038738	Cdkn2aip
ENSMUST00000130491	Cebpg
ENSMUST00000024885	Cebpz
ENSMUST00000180077	Cebpzos
ENSMUST00000047497	Cep104
ENSMUST00000049811	Cep120
ENSMUST00000089776	Cep152
ENSMUST00000138762	Cep350
ENSMUST00000040330	Cep44
ENSMUST00000093791	Cep63
ENSMUST00000162655	Cep63
ENSMUST00000162811	Cep68
ENSMUST00000050611	Cep68
ENSMUST00000097542	Cep76
ENSMUST00000047704	Cep78
ENSMUST00000103068	Cep95
ENSMUST00000023762	Cers5
ENSMUST00000114551	Cetn2
ENSMUST00000033713	Cetn2
ENSMUST00000022009	Cetn3
ENSMUST00000034249	Cfap20
ENSMUST00000034432	Cfdp1
ENSMUST00000209469	Cfl1
ENSMUST00000116560	Cfl1
ENSMUST00000067744	Cggbp1
ENSMUST00000068532	Cgrrf1
ENSMUST00000071215	Chchd1
ENSMUST00000035481	Chchd5
ENSMUST00000029730	Chd1l
ENSMUST00000112390	Chd4
ENSMUST00000039782	Chd6
ENSMUST00000079510	Cherp
ENSMUST00000005711	Chmp2a
ENSMUST00000004965	Chmp2b
ENSMUST00000059462	Chmp3
ENSMUST00000044277	Chmp4b
ENSMUST00000026434	Chmp6
ENSMUST00000036381	Chmp7
ENSMUST00000001825	Chordc1
ENSMUST00000014221	Chp1
ENSMUST00000089765	Chrac1
ENSMUST00000049937	Chtop
ENSMUST00000076639	Chtop
ENSMUST00000026217	Chuk
ENSMUST00000041262	Churc1
ENSMUST00000003759	Ciao1
ENSMUST00000174030	Ciao1
ENSMUST00000043716	Cinp
ENSMUST00000187814	Cipc
ENSMUST00000038369	Cipc
ENSMUST00000058615	Cir1
ENSMUST00000029815	Cisd2
ENSMUST00000034342	Cklf
ENSMUST00000106609	Clcc1
ENSMUST00000000619	Clcn4
ENSMUST00000023426	Cldnd1
ENSMUST00000109260	Clint1
ENSMUST00000065330	Clk3
ENSMUST00000034776	Cln6
ENSMUST00000026506	Clns1a
ENSMUST00000202651	Clock
ENSMUST00000002735	Clpp
ENSMUST00000055242	Clptm1
ENSMUST00000022102	Clptm1l
ENSMUST00000060766	Cltc
ENSMUST00000103186	Cltc
ENSMUST00000124385	Cltc
ENSMUST00000040881	Cluap1
ENSMUST00000032419	Cmas
ENSMUST00000044220	Cmc1
ENSMUST00000148235	Cmc2
ENSMUST00000030491	Cmpk1
ENSMUST00000114371	Cmss1
ENSMUST00000024816	Cmtr1
ENSMUST00000032138	Cnbp
ENSMUST00000113619	Cnbp
ENSMUST00000204890	Cnbp
ENSMUST00000025546	Cndp2
ENSMUST00000095214	Cnep1r1
ENSMUST00000015903	Cnih1
ENSMUST00000134115	Cnih4
ENSMUST00000153128	Cnnm4
ENSMUST00000098473	Cnot1
ENSMUST00000068452	Cnot1
ENSMUST00000070117	Cnot10
ENSMUST00000003219	Cnot11
ENSMUST00000155901	Cnot6l
ENSMUST00000020822	Cnot8
ENSMUST00000087215	Cnot9
ENSMUST00000168720	Cnppd1
ENSMUST00000041213	Cnppd1
ENSMUST00000190679	Cnppd1
ENSMUST00000110934	Cnpy4
ENSMUST00000040706	Cnst
ENSMUST00000017332	Coa3
ENSMUST00000027286	Coa5
ENSMUST00000059093	Coa6
ENSMUST00000131656	Coa7
ENSMUST00000001806	Coasy
ENSMUST00000018805	Cog1
ENSMUST00000034460	Cog2
ENSMUST00000049168	Cog3
ENSMUST00000034203	Cog4
ENSMUST00000036862	Cog5
ENSMUST00000057576	Cog7
ENSMUST00000034391	Cog8
ENSMUST00000095517	Cog8
ENSMUST00000036649	Coil
ENSMUST00000077672	Col4a3bp
ENSMUST00000109444	Col4a3bp
ENSMUST00000049388	Commd10
ENSMUST00000160959	Commd2
ENSMUST00000061158	Commd3
ENSMUST00000065358	Commd4
ENSMUST00000068407	Commd5
ENSMUST00000071852	Commd7
ENSMUST00000109782	Commd7
ENSMUST00000013693	Commd8
ENSMUST00000195169	Comt
ENSMUST00000183626	Comt
ENSMUST00000165430	Comt
ENSMUST00000000335	Comt
ENSMUST00000027833	Copa
ENSMUST00000033012	Copb1
ENSMUST00000035033	Copb2
ENSMUST00000066469	Cope
ENSMUST00000113607	Copg1
ENSMUST00000048774	Copg2
ENSMUST00000019517	Cops3
ENSMUST00000045993	Cops4
ENSMUST00000027050	Cops5
ENSMUST00000019638	Cops6
ENSMUST00000110951	Cops6
ENSMUST00000032220	Cops7a
ENSMUST00000036153	Cops8
ENSMUST00000100162	Copz1
ENSMUST00000031262	Coq2
ENSMUST00000029909	Coq3
ENSMUST00000040421	Coq5
ENSMUST00000020851	Cox11
ENSMUST00000023761	Cox14
ENSMUST00000045562	Cox15
ENSMUST00000110340	Cox16
ENSMUST00000120495	Cox17
ENSMUST00000049630	Cox19
ENSMUST00000027781	Cox20
ENSMUST00000071898	Cpsf1
