DEG ID	Gene Name
DEG20010835	HAS1
DEG20010836	LCB1
DEG20010837	LIP1
DEG20010838	ATM1
DEG20010839	PSE1
DEG20010840	NIP1
DEG20010841	PRE5
DEG20010842	RLP7
DEG20010843	LST8
DEG20010844	SIS1
DEG20010845	ARK1
DEG20010846	YNL024C-A
DEG20010847	SAM50
DEG20010848	GPI15
DEG20010849	BDP1
DEG20010850	NOP2
DEG20010851	GCD10
DEG20010852	IMP4
DEG20010853	TOP2
DEG20010854	POL1
DEG20010855	MET4
DEG20010856	NOP15
DEG20010857	DBP2
DEG20010858	RPC19
DEG20010859	DCP2
DEG20010860	NAF1
DEG20010861	SPC98
DEG20010862	TOM22
DEG20010863	KRE33
DEG20010864	NAM9
DEG20010865	YSF3
DEG20010866	PGA2
DEG20010867	RPC31
DEG20010868	INN1
DEG20010869	PGA1
DEG20010870	CBK1
DEG20010871	RPL42A
DEG20010872	RIA1
DEG20010873	APC1
DEG20010874	RPS3
DEG20010875	YNL181W
DEG20010876	IPI3
DEG20010877	KAR1
DEG20010878	SRP1
DEG20010879	RIO2
DEG20010880	RAP1
DEG20010881	POP1
DEG20010882	SSU72
DEG20010883	CSL4
DEG20010884	NAR1
DEG20010885	SUI1
DEG20010886	CWC25
DEG20010887	YNL247W
DEG20010888	NRD1
DEG20010889	FOL1
DEG20010890	DSL1
DEG20010891	YNL260C
DEG20010892	ORC5
DEG20010893	POL2
DEG20010894	YIF1
DEG20010895	PIK1
DEG20010896	SEC2
DEG20010897	POP3
DEG20010898	SEC21
DEG20010899	RFC3
DEG20010900	MRPS18
DEG20010901	KRI1
DEG20010902	ZIM17
DEG20010903	RFA2
DEG20010904	YNL313C
DEG20010905	PFS2
DEG20010906	RPC34
DEG20010907	PRP2
DEG20010908	ACC1
DEG20010909	TIM23
DEG20010910	SEC12
DEG20010911	ARC35
DEG20010912	DBP6
DEG20010913	MVD1
DEG20010914	TRM112
DEG20010915	NOG2
DEG20010916	ESF2
DEG20010917	RPB11
DEG20010918	RCL1
DEG20010919	DIS3
DEG20010920	TSR4
DEG20010921	MIM1
DEG20010922	SMC5
DEG20010923	PRE6
DEG20010924	RPS15
DEG20010925	RIB2
DEG20010926	NUF2
DEG20010927	BRX1
DEG20010928	AVO1
DEG20010929	RFC4
DEG20010930	WRS1
DEG20010931	TPT1
DEG20010932	RPL18A
DEG20010933	HRP1
DEG20010934	RPL25
DEG20010935	ALR1
DEG20010936	HRT1
DEG20010937	MED7
DEG20010938	CDC33
DEG20010939	NOP8
DEG20010940	PSF3
DEG20010941	DCP1
DEG20010942	UTP23
DEG20010943	HSP10
DEG20010944	DBP5
DEG20010945	RAT1
DEG20010946	NOB1
DEG20010947	SGT1
DEG20010948	YOR060C
DEG20010949	RPL3
DEG20010950	CDC21
DEG20010951	UFE1
DEG20010952	RTS2
DEG20010953	RKI1
DEG20010954	NUP1
DEG20010955	OST2
DEG20010956	VAM3
DEG20010957	TFC7
DEG20010958	RPO31
DEG20010959	RPT5
DEG20010960	RIO1
DEG20010961	PFY1
DEG20010962	THI80
DEG20010963	SPP2
DEG20010964	SMP3
