ENST00000262506	P19784
ENST00000262519	O15047
ENST00000262577	Q8IXZ2-1
ENST00000262584	P62917
ENST00000262633	Q9BTD8-1
ENST00000262644	Q9NX62
ENST00000262646	P61019-1
ENST00000262809	P55199
ENST00000262812	O14579-1
ENST00000262815	Q9Y6X3-1
ENST00000262919	O75882-1
ENST00000262942	Q92747-1
ENST00000262947	Q969H8
ENST00000262948	P36507
ENST00000262962	Q9BW85
ENST00000262971	Q8N2W9
ENST00000262990	Q9Y3S2
ENST00000263025	P27361-1
ENST00000263121	A0A0G2JRV3
ENST00000263168	P52907
ENST00000263228	Q712K3
ENST00000263238	P61158
ENST00000263239	Q9NVP1
ENST00000263245	Q9NP61-1
ENST00000263246	Q9UNF0-1
ENST00000263256	Q6ICB0
ENST00000263270	P53680-1
ENST00000263280	Q9NRL3-1
ENST00000263309	J3KN38
ENST00000263346	Q9BQ70
ENST00000263354	P54920
ENST00000263377	O60885-1
ENST00000263384	Q9Y421-1
ENST00000263433	Q9BZL4-1
ENST00000263559	O75436-1
ENST00000263645	P60033
ENST00000263657	Q9NRX1
ENST00000263672	Q15005
ENST00000263697	O75937
ENST00000263733	O75063
ENST00000263773	Q8N3X1-1
ENST00000263774	O75489-1
ENST00000263780	Q9UQN3-1
ENST00000263847	P22059
ENST00000263856	Q9Y3E7-1
ENST00000263897	Q9NZ43-1
ENST00000263956	Q9Y5Q9-1
ENST00000263960	Q9H8M1-1
ENST00000264028	P48444-1
ENST00000264108	O14929-1
ENST00000264158	Q15042-1
ENST00000264161	P14868-1
ENST00000264198	Q969V5
ENST00000264255	O14530-1
ENST00000264258	P62899-1
ENST00000264279	Q9Y2X3
ENST00000264335	P62258-1
ENST00000264389	Q9BT78-1
ENST00000264431	Q9Y4G8
ENST00000264451	Q6PML9
ENST00000264555	Q9P1Y6-1
ENST00000264639	O43242-1
ENST00000264645	O15234
ENST00000264657	P40763-1
ENST00000264933	O75340-1
ENST00000264954	Q9HAV7
ENST00000264963	Q9H0V9-1
ENST00000264993	Q9UKY7-1
ENST00000264995	P09001
ENST00000265028	Q9UBS4
ENST00000265044	Q9UNL2-1
ENST00000265062	P51149
ENST00000265070	Q9H4A6
ENST00000265073	P53999
ENST00000265093	J3KN48
ENST00000265175	O95487-1
ENST00000265192	Q9BPZ3
ENST00000265245	Q9H089
ENST00000265339	P63146
ENST00000265343	Q9UHB7-1
ENST00000265393	Q86VP1-2
ENST00000265462	P30044-1
ENST00000265563	P13861-1
ENST00000265758	O43709-1
ENST00000265857	Q7L5D6-1
ENST00000265866	P31942-1
ENST00000265909	Q92543-1
ENST00000266025	Q12893
ENST00000266027	P04899-6
ENST00000266069	Q9NWU2
ENST00000266079	O94906-1
ENST00000266529	Q8TBF4
ENST00000266735	P62306
ENST00000267103	Q9HB07
ENST00000267115	P55061-1
ENST00000267116	Q8NB46
ENST00000267202	Q9H9H4
ENST00000267339	Q9NXR5-1
ENST00000267425	Q86U38-1
ENST00000267750	Q5J8M3-1
ENST00000267812	P55081
ENST00000267884	P37108
ENST00000268171	P09958
ENST00000268220	P67812-1
ENST00000268482	Q92620-1
ENST00000268607	Q9GZQ8
ENST00000268668	O96000-1
ENST00000268704	A0A2U3TZH1
ENST00000268711	Q9NWA0
ENST00000268802	Q9ULX3
ENST00000269097	Q9BUM1
ENST00000269143	Q9Y4W6
ENST00000269187	Q13433-1
ENST00000269195	Q10472-1
ENST00000269321	P52565-1
ENST00000269373	Q9HA64
ENST00000269886	Q99961-1
